UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;LOCALIDAD;CONSUMO_KW;POTENCIA_CONTRATADA;MONTO_SOLES
60310;CAJAMARCA;CELENDIN;SUCRE;BELLAVISTA DE CAJEN;10.77;120;12
60310;CAJAMARCA;CELENDIN;SUCRE;LA FLORIDA;10.77;120;263.3
60310;CAJAMARCA;CELENDIN;SUCRE;SECTOR CANTANGE FORTALEZA;10.77;120;308.6
60303;CAJAMARCA;CELENDIN;CORTEGANA;SAN MIGUEL;10.77;120;224.8
60304;CAJAMARCA;CELENDIN;HUASMIN;JEREZ;10.77;120;567.4
60304;CAJAMARCA;CELENDIN;HUASMIN;LAGUNAS;10.77;120;308.6
60304;CAJAMARCA;CELENDIN;HUASMIN;MELENDEZ;10.77;120;169.6
60304;CAJAMARCA;CELENDIN;HUASMIN;SHIUATE;10.77;120;259
60304;CAJAMARCA;CELENDIN;HUASMIN;TUPAC AMARU;10.77;120;331.3
60307;CAJAMARCA;CELENDIN;MIGUEL IGLESIAS;JORGE CHAVEZ;10.77;120;296.6
60307;CAJAMARCA;CELENDIN;MIGUEL IGLESIAS;LA MERCED;10.77;120;386.7
60307;CAJAMARCA;CELENDIN;MIGUEL IGLESIAS;MIRADOR;10.77;120;221.6
60309;CAJAMARCA;CELENDIN;SOROCHUCO;OCSHA;10.77;120;308.6
60309;CAJAMARCA;CELENDIN;SOROCHUCO;SURUPATA;10.77;120;302.5
60309;CAJAMARCA;CELENDIN;SOROCHUCO;CHUGURMAYO;10.77;120;374.1
60302;CAJAMARCA;CELENDIN;CHUMUCH;AGUA SANTA;10.77;120;643.3
60302;CAJAMARCA;CELENDIN;CHUMUCH;BUENA VISTA;10.77;120;612.9
60302;CAJAMARCA;CELENDIN;CHUMUCH;CRISTO REY;10.77;120;567.4
60301;CAJAMARCA;CELENDIN;CELENDIN;MANGASH;10.77;120;263.2
60304;CAJAMARCA;CELENDIN;HUASMIN;HUASMIN;10.77;120;612.9
60304;CAJAMARCA;CELENDIN;HUASMIN;HUASMIN;10.77;120;612.9
60304;CAJAMARCA;CELENDIN;HUASMIN;CHILAC NUMERO 8;10.77;120;308.6
60303;CAJAMARCA;CELENDIN;CORTEGANA;DOS DE MAYO;10.77;120;308.6
60310;CAJAMARCA;CELENDIN;SUCRE;SAN MARTIN;10.77;120;292.2
60303;CAJAMARCA;CELENDIN;CORTEGANA;SAN JUAN DE LA QUINUA.;10.77;120;308.6
60303;CAJAMARCA;CELENDIN;CORTEGANA;PERLAMAYO;10.77;120;400.9
60504;CAJAMARCA;CONTUMAZA;GUZMANGO;AHIJADERO;10.77;120;95.7
60504;CAJAMARCA;CONTUMAZA;GUZMANGO;LAS ROSAS;10.77;120;12
60504;CAJAMARCA;CONTUMAZA;GUZMANGO;LAS ROSAS;10.77;120;11
60504;CAJAMARCA;CONTUMAZA;GUZMANGO;LAS TAYAS;10.77;120;612.9
60504;CAJAMARCA;CONTUMAZA;GUZMANGO;ROTOY;10.77;120;22
60504;CAJAMARCA;CONTUMAZA;GUZMANGO;TAMBILLO;10.77;120;11.1
60505;CAJAMARCA;CONTUMAZA;SAN BENITO;RINCON;10.77;120;12.1
60505;CAJAMARCA;CONTUMAZA;SAN BENITO;YAVILAN;10.77;120;12.1
60506;CAJAMARCA;CONTUMAZA;SANTA CRUZ DE TOLED;EL ALIZO;10.77;120;55.4
60506;CAJAMARCA;CONTUMAZA;SANTA CRUZ DE TOLED;LAS CONTAYAS;10.77;120;11
60507;CAJAMARCA;CONTUMAZA;TANTARICA;NANRRA;10.77;120;28.3
60508;CAJAMARCA;CONTUMAZA;YONAN;EL PONGUITO;10.77;120;10.9
